4.158097858	8.713020553	5.385707166	1.119974042
3.970867655	8.681196533	5.076514121	1.170952149
3.569504651	8.678072862	4.847921743	1.292732795
3.703205144	8.654765717	4.76218827	1.250549979
3.623086858	8.581504637	4.829947023	1.262376181
3.635450027	8.56324754	4.798932394	1.256865994
3.696828779	8.557844227	4.729406782	1.23985611
3.666491498	8.55760565	4.726500278	1.248618668
3.638127822	8.551178686	4.694938481	1.257456444
3.49906075	8.541968144	4.538942127	1.30538922
3.418894732	8.509977521	4.946913175	1.313483839
3.359873909	8.500882428	4.602523192	1.344598676
3.470297231	8.492905307	4.399994321	1.312088289
3.4062065	8.481671961	4.45633948	1.330436696
3.327097614	8.476904892	4.708599264	1.347471223
3.214275476	8.475744903	4.490558999	1.397666501
3.296639852	8.473966803	4.382461158	1.370741038
3.186901705	8.461191934	4.473058365	1.406755349
3.127745874	8.459167146	4.334442997	1.434686451
3.095816508	8.453647731	4.232000238	1.45199191
2.871319924	8.420064917	4.140810968	1.547866821
3.086379532	8.37502646	4.117793959	1.446363601
3.033627223	8.363200985	4.113663377	1.467525547
3.221155193	8.356061037	4.004425299	1.393773734
3.063203414	8.326151527	4.079030234	1.449381975
3.039817362	8.325016328	3.972340858	1.462863032
3.171131257	8.31573518	3.952410092	1.407946027
2.867683788	8.312648012	3.970435929	1.538428341
3.048066304	8.289063516	3.93370908	1.455150363
3.108449229	8.279698057	3.859120198	1.432032698
2.929324288	8.275033138	3.961322695	1.503576123
3.072755937	8.273496903	3.865221326	1.445650283
2.966922715	8.27103404	3.920291372	1.488401758
2.895028083	8.257623661	3.956025357	1.51675386
3.024723718	8.251160988	3.771859968	1.46644429
2.810783766	8.238247069	4.033864253	1.548400919
2.843634502	8.231525565	3.967977879	1.535742948
2.95903949	8.225626841	3.879586506	1.484945719
2.805035288	8.214667397	3.996768733	1.549650446
2.939393949	8.212465277	3.927224759	1.490679906
2.809818626	8.211979536	3.869906639	1.552413306
3.025595421	8.211818047	3.755590798	1.459086049
2.947958461	8.208571318	3.848889611	1.488742053
2.876615288	8.195577017	3.842508251	1.51958494
2.817615758	8.195460554	3.787339933	1.548871281
2.864289532	8.182225769	3.777471528	1.525455171
2.907654583	8.180837375	3.771875382	1.504661575
2.751739184	8.179957947	3.968260137	1.570851729
2.783437681	8.176868017	3.870444111	1.558772952
2.70495467	8.174717366	3.807470733	1.601111123
2.952121416	8.173369025	3.747580649	1.485214537
2.922727153	8.170766865	3.731521585	1.497503926
2.744987621	8.170181827	3.765911488	1.582185736
2.851059974	8.167217488	3.70329576	1.532532336
2.598367891	8.16636951	3.804236834	1.657319822
2.805515572	8.163126793	3.717031188	1.551669964
2.767689502	8.154375906	3.667187627	1.57154436
2.738226853	8.152021442	3.677299393	1.587694712
2.683081746	8.138063131	3.642423589	1.612886201
2.868246027	8.135711949	3.577292971	1.524376927
2.826052667	8.12884899	3.566844041	1.5438945
2.788801015	8.127401116	3.631286783	1.557963393
2.666096644	8.126239136	3.642581735	1.621351677
2.813476342	8.125211362	3.599190303	1.547048866
2.745402706	8.117407809	3.636144599	1.578150929
2.641777894	8.115479852	3.623488899	1.633301214
2.670743843	8.111997546	3.57328147	1.618761971
2.615417345	8.099834354	3.724903611	1.639308015
2.688453729	8.092099178	3.487242139	1.609513119
2.675447052	8.081350469	3.537443507	1.612714739
2.693382317	8.075984498	3.449486376	1.607064263
2.632740484	8.073041923	3.45944754	1.639362722
2.53807938	8.062847872	3.473394838	1.688255918
2.510293775	8.060189044	3.458446561	1.704446832
2.563505741	8.022565712	3.33667967	1.672911108
2.602532883	8.019751909	3.297835801	1.651972488
2.545070324	8.01069767	3.358488227	1.681760978
2.502738419	7.993940038	3.379815297	1.701502366
2.449220603	7.971773875	3.55541842	1.718081987
2.491843259	7.955410747	3.361737071	1.700752018
2.476687317	7.944599425	3.343189452	1.70925744
2.427318563	7.942207833	3.272086317	1.741494967
2.375997864	7.93881647	3.487854211	1.761885607
2.40659796	7.935375193	3.274113789	1.754817772
2.43196556	7.931616437	3.208277218	1.741209339
2.425191058	7.913729038	3.163336119	1.744693853
2.362787345	7.904489839	3.446124738	1.765053606
2.445792224	7.903962523	3.150400146	1.731226796
2.377197759	7.8754414	3.171609796	1.767112756
2.435126169	7.873665972	3.14526847	1.732914473
2.359931231	7.87144214	3.333229794	1.767675822
2.350888599	7.871305365	3.251436954	1.776632231
2.354299732	7.854978683	3.241272998	1.773000183
2.401110339	7.848543788	3.113375235	1.749982427
2.245226663	7.848354183	3.286459114	1.843452891
2.361884432	7.844467763	3.200579187	1.768507996
2.426154846	7.830939917	3.069202836	1.73340781
2.271321359	7.824701043	3.276837035	1.820045309
2.347209431	7.816225007	3.134943461	1.777226135
2.305228994	7.809189603	3.260999256	1.794464108
2.35625733	7.798939961	3.08195297	1.767846706
2.314290188	7.795080419	3.075335612	1.795142616
2.228726229	7.791796059	3.229347306	1.843272977
2.235447023	7.787100104	3.158431427	1.844700652
2.277819045	7.783185975	3.101017288	1.81877474
2.269510026	7.767700973	3.049633585	1.825758382
2.27037969	7.761080364	2.985089348	1.827491327
2.208383165	7.741861445	3.164877256	1.855470941
2.247514814	7.740001671	3.131990277	1.828898019
2.27676893	7.728232449	2.955813123	1.81793213
2.267267041	7.722717901	2.891791649	1.823797135
2.19381055	7.719638305	3.027932119	1.868932705
2.194661309	7.692633289	3.006859278	1.863991292
2.185951684	7.692243388	2.954398766	1.875740523
2.163925681	7.690980329	3.07749814	1.8793203
2.240050308	7.686797231	2.941648659	1.83343765
2.178125824	7.686037443	2.913948939	1.883485617
2.133810053	7.683745489	2.807075878	1.92368643
2.077150451	7.648847039	2.908729268	1.950736214
2.002759193	7.647780101	2.922015023	2.014794151
2.155079812	7.644421549	2.789527555	1.894930164
2.082958896	7.611208061	2.851086077	1.943232673
2.059178726	7.589221453	2.846356387	1.956757507
2.099015929	7.584836227	2.796943008	1.929312058
2.077750321	7.583942739	2.792250854	1.94437734
2.186495657	7.579559651	2.760585036	1.862212977
2.01194308	7.554431867	2.873738202	1.987098961
2.047018905	7.550393266	2.690451244	1.971708354
2.016624651	7.530599256	2.855370754	1.975240164
2.003520242	7.520810931	2.841187458	1.988763611
2.169995789	7.504217926	2.686435862	1.861023771
2.092293572	7.497098886	2.690172227	1.921187833
1.956978113	7.482664261	2.573570918	2.044281984
1.914038969	7.42623138	2.630821967	2.061630328
1.902441265	7.405482637	2.639261947	2.066039951
1.892754708	7.382688804	2.537765692	2.078324344
1.86848903	7.365441259	2.739884439	2.079763053
1.844367916	7.348433614	2.617353057	2.107299707
1.815937763	7.330762654	2.521899155	2.143745245
1.858725811	7.319731942	2.485061938	2.100541843
1.791529487	7.30292062	2.511572912	2.158007401
1.842035771	7.275704212	2.468041632	2.105962521
1.817614591	7.256059112	2.443565007	2.131220029
1.881067924	7.232945927	2.440725971	2.05944018
1.859710505	7.226781547	2.419049347	2.080369476
1.790897279	7.207022389	2.38743163	2.146779894
1.775444247	7.206973168	2.339009357	2.166161218
1.724827888	7.188981117	2.52594032	2.200692369
1.77411149	7.184126673	2.325430688	2.165389594
1.729071645	7.180724175	2.362703649	2.207350966
1.714831631	7.095654984	2.308042648	2.207515776
1.721708153	7.089571167	2.246209743	2.203745635
1.697231217	7.068898071	2.334366366	2.216206162
1.690076575	7.062816532	2.163060479	2.242223472
1.655800867	7.028155109	2.386096765	2.245826057
1.659047481	7.009692504	2.305763721	2.246429462
1.63834597	6.97297733	2.2477728	2.263508855
1.634986166	6.951722733	2.153261163	2.273078432
1.596212776	6.946865572	2.206893374	2.313439196
